SFE - SISTEMA DE FATURA ELETRONICA - Extrato Analitico de Fatura; 
 
CNPJ;Data;Hora;Razao Social;Contrato;DR;AN8 (ERP);Centro de Custos;Numero da Fatura;Status da Fatura;Data de Vencimento;
08674593000183;26/06/2023;10:07;DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;9912351634;SE/RJ;3756351;DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;668065;Em Aberto;05/07/2023;
 
DETALHAMENTO DA FATURA
Titular do Cartao;Cartao de Postagem;Data da Postagem;Codigo do Servico;Servicos Adicionais;CEP Destinatario;Unidade da Postagem;Peso (gramas);Quantidade;Numero da Etiqueta;Documento;Valor Unitario (R$);Valor do Servico (R$);Desconto (R$);Valor Liquido (R$);Valor Declarado (R$);
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;04552;00423891 AGF AVENIDA VITORIA;965;1;TE474811815BR;0474811815;R$ 29,00;R$ 29,00;R$ 0,00;R$ 29,00;R$ 63,73;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;65075;00423891 AGF AVENIDA VITORIA;1475;1;TE474811829BR;0474811829;R$ 78,23;R$ 78,23;R$ 0,00;R$ 78,23;R$ 604,07;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;57030;00423891 AGF AVENIDA VITORIA;7933;1;TE474811832BR;0474811832;R$ 132,88;R$ 132,88;R$ 0,00;R$ 132,88;R$ 483,46;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;29/05/2023;03220;;79020;00423891 AGF AVENIDA VITORIA;4150;1;TE474811846BR;0474811846;R$ 116,84;R$ 116,84;R$ 0,00;R$ 116,84;R$ 2.028,15;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;30/05/2023;03220;;66635;00423891 AGF AVENIDA VITORIA;1375;1;TE474811850BR;0474811850;R$ 85,55;R$ 85,55;R$ 0,00;R$ 85,55;R$ 1.336,30;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;30/05/2023;03220;;57030;00423891 AGF AVENIDA VITORIA;15360;1;TE474811863BR;0474811863;R$ 279,31;R$ 279,31;R$ 0,00;R$ 279,31;R$ 1.679,30;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;30/05/2023;03298;;68555;00423891 AGF AVENIDA VITORIA;4500;1;QM989234383BR;0989234383;R$ 105,11;R$ 105,11;R$ 0,00;R$ 105,11;R$ 1.990,77;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;30/05/2023;03298;;48500;00423891 AGF AVENIDA VITORIA;1790;1;QM989234397BR;0989234397;R$ 39,37;R$ 39,37;R$ 0,00;R$ 39,37;R$ 779,96;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;31/05/2023;03220;;30130;00423891 AGF AVENIDA VITORIA;700;1;TE474811877BR;0474811877;R$ 29,27;R$ 29,27;R$ 0,00;R$ 29,27;R$ 90,30;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;01/06/2023;03220;;28430;00423891 AGF AVENIDA VITORIA;950;1;TE474811885BR;0474811885;R$ 49,92;R$ 49,92;R$ 0,00;R$ 49,92;R$ 612,92;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;02/06/2023;03220;;80420;00423891 AGF AVENIDA VITORIA;1000;1;TE474811894BR;0474811894;R$ 31,11;R$ 31,11;R$ 0,00;R$ 31,11;R$ 274,14;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;02/06/2023;03220;;78890;00423891 AGF AVENIDA VITORIA;4080;1;TE474811903BR;0474811903;R$ 173,87;R$ 173,87;R$ 0,00;R$ 173,87;R$ 1.784,35;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;02/06/2023;03220;;68040;00423891 AGF AVENIDA VITORIA;2315;1;TE474811917BR;0474811917;R$ 128,83;R$ 128,83;R$ 0,00;R$ 128,83;R$ 765,90;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;02/06/2023;03220;;69053;00423891 AGF AVENIDA VITORIA;3335;1;TE474811925BR;0474811925;R$ 123,05;R$ 123,05;R$ 0,00;R$ 123,05;R$ 1.712,22;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;02/06/2023;03220;;49020;00423891 AGF AVENIDA VITORIA;1435;1;TE474811934BR;0474811934;R$ 75,21;R$ 75,21;R$ 0,00;R$ 75,21;R$ 1.336,30;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;02/06/2023;03220;;69053;00423891 AGF AVENIDA VITORIA;2515;1;TE474811948BR;0474811948;R$ 103,92;R$ 103,92;R$ 0,00;R$ 103,92;R$ 1.156,18;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;02/06/2023;03220;;58038;00423891 AGF AVENIDA VITORIA;7645;1;TE474811951BR;0474811951;R$ 188,13;R$ 188,13;R$ 0,00;R$ 188,13;R$ 3.307,50;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;05/06/2023;03220;;35160;00423891 AGF AVENIDA VITORIA;1385;1;TE474811979BR;0474811979;R$ 57,85;R$ 57,85;R$ 0,00;R$ 57,85;R$ 1.183,60;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;05/06/2023;03220;;90510;00423891 AGF AVENIDA VITORIA;1415;1;TE474811965BR;0474811965;R$ 59,89;R$ 59,89;R$ 0,00;R$ 59,89;R$ 1.183,60;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;05/06/2023;03220;;04561;00423891 AGF AVENIDA VITORIA;675;1;TE474811982BR;0474811982;R$ 29,15;R$ 29,15;R$ 0,00;R$ 29,15;R$ 78,72;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;05/06/2023;03220;;69053;00423891 AGF AVENIDA VITORIA;5010;1;TE474811996BR;0474811996;R$ 151,38;R$ 151,38;R$ 0,00;R$ 151,38;R$ 2.316,90;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;07/06/2023;03220;;68040;00423891 AGF AVENIDA VITORIA;1460;1;TE474812016BR;0474812016;R$ 109,23;R$ 109,23;R$ 0,00;R$ 109,23;R$ 1.336,30;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;07/06/2023;03220;;66635;00423891 AGF AVENIDA VITORIA;2840;1;TE474812002BR;0474812002;R$ 115,82;R$ 115,82;R$ 0,00;R$ 115,82;R$ 2.346,98;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;07/06/2023;03220;;59020;00423891 AGF AVENIDA VITORIA;5565;1;TE474812020BR;0474812020;R$ 131,80;R$ 131,80;R$ 0,00;R$ 131,80;R$ 358,78;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;09/06/2023;03140;;30130;00423891 AGF AVENIDA VITORIA;3395;1;OE593056365BR;0593056365;R$ 89,13;R$ 89,13;R$ 0,00;R$ 89,13;R$ 986,60;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;09/06/2023;03140;;30130;00423891 AGF AVENIDA VITORIA;7810;1;OE593056374BR;0593056374;R$ 129,49;R$ 129,49;R$ 0,00;R$ 129,49;R$ 986,60;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;09/06/2023;03220;;41825;00423891 AGF AVENIDA VITORIA;20040;1;TE474812047BR;0474812047;R$ 340,49;R$ 340,49;R$ 0,00;R$ 340,49;R$ 8.771,13;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;09/06/2023;03220;;64048;00423891 AGF AVENIDA VITORIA;22480;1;TE474812033BR;0474812033;R$ 576,09;R$ 576,09;R$ 0,00;R$ 576,09;R$ 10.000,00;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;09/06/2023;03220;;41825;00423891 AGF AVENIDA VITORIA;7715;1;TE474812055BR;0474812055;R$ 178,63;R$ 178,63;R$ 0,00;R$ 178,63;R$ 8.771,13;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;12/06/2023;03220;;97015;00423891 AGF AVENIDA VITORIA;7933;1;TE474812064BR;0474812064;R$ 112,87;R$ 112,87;R$ 0,00;R$ 112,87;R$ 110,00;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;12/06/2023;03220;;29460;00423891 AGF AVENIDA VITORIA;9850;1;TE474812078BR;0474812078;R$ 107,49;R$ 107,49;R$ 0,00;R$ 107,49;R$ 6.607,44;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;12/06/2023;03220;;69306;00423891 AGF AVENIDA VITORIA;15360;1;TE474812081BR;0474812081;R$ 364,49;R$ 364,49;R$ 0,00;R$ 364,49;R$ 4.667,60;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;12/06/2023;03220;;30130;00423891 AGF AVENIDA VITORIA;610;1;TE474812095BR;0474812095;R$ 29,09;R$ 29,09;R$ 0,00;R$ 29,09;R$ 72,13;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;12/06/2023;03220;;09687;00423891 AGF AVENIDA VITORIA;710;1;TE474812104BR;0474812104;R$ 29,45;R$ 29,45;R$ 0,00;R$ 29,45;R$ 108,69;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;15/06/2023;03220;;37470;00423891 AGF AVENIDA VITORIA;670;1;TE474812118BR;0474812118;R$ 51,04;R$ 51,04;R$ 0,00;R$ 51,04;R$ 724,90;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;15/06/2023;03220;;66635;00423891 AGF AVENIDA VITORIA;3230;1;TE474812121BR;0474812121;R$ 139,36;R$ 139,36;R$ 0,00;R$ 139,36;R$ 3.343,50;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;15/06/2023;03220;;64048;00423891 AGF AVENIDA VITORIA;2335;1;TE474812135BR;0474812135;R$ 108,73;R$ 108,73;R$ 0,00;R$ 108,73;R$ 1.637,07;

;
RESUMO DE SERVICOS 
Código do Serviço;Descricão do Serviço;Quantidade;Valor do Serviço (R$);Desconto (R$);Valor Líquido (R$);
03298;PAC CONTRATO AG;2;R$ 144,48;R$ 0,00;R$ 144,48;
03220;SEDEX CONTRATO AG;85;R$ 10.978,68;R$ 0,00;R$ 10.978,68;
03140;SEDEX 12 CONTRATO AG;2;R$ 218,62;R$ 0,00;R$ 218,62;


RESUMO DE SERVICOS ADICIONAIS (INCLUIDOS NO VALOR DOS SERVICOS) 
Codigo do Servico;Descricao do Servico;


LANCAMENTOS DE CREDITOS 
Descricao do credito;Valor do credito;
CREDITO - CARTÃO 0069241767 Bonus - Nivel de Servico - Abril 2023;-R$ 14,82;


LANÇAMENTOS DE CRÉDITO REMANESCENTE PARA FATURAMENTO POSTERIOR
Descricao do credito remanescente;Valor do credito remanescente;
Sem lancamentos no periodo.

LANCAMENTOS DE DEBITOS 
Descricao do debito;Valor do debito;
Sem lancamentos no periodo.

LANCAMENTOS DE DEBITOS DE ENCARGOS 
Descricao do encargo;Valor do encargo;
Sem lancamentos no periodo.

RESUMO DA FATURA 
Descricao;Valor;
Servicos de ciclos anteriores;R$ 0,00
Servicos do ciclo atual;R$ 11.341,78
Complementacao financeira (cota minima);R$ 0,00
Restituicao da complementacao financeira (cota minima);R$ 0,00
Lancamentos de credito;-R$ 14,82
Crédito Remanescente para Faturamento Posterior;R$ 0,00
Lancamentos de debito;R$ 0,00
Descontos;R$ 0,00

VALOR TOTAL DA FATURA;R$ 11.326,96

                                                                                                    
                                                                                                    

