Unidade de postagem;Nota fiscal;Valor frete
00423891 AGF AVENIDA VITORIA;116105;15,99
00423891 AGF AVENIDA VITORIA;116111;17,89
00423891 AGF AVENIDA VITORIA;116124;0
00423891 AGF AVENIDA VITORIA;116069;0
00423891 AGF AVENIDA VITORIA;116070;0
00423891 AGF AVENIDA VITORIA;116089;9,68
00235037 AGF PEDRO II;105875;0
00235037 AGF PEDRO II;105878;0
00235037 AGF PEDRO II;105880;18,02
00235037 AGF PEDRO II;105881;0
00235037 AGF PEDRO II;105924;13,5
00235037 AGF PEDRO II;105921;0
00235037 AGF PEDRO II;105925;13,5
00423891 AGF AVENIDA VITORIA;116130;21,42
00423891 AGF AVENIDA VITORIA;116140;18,42
00423891 AGF AVENIDA VITORIA;116202;17,89
00235037 AGF PEDRO II;105942;26,85
00423891 AGF AVENIDA VITORIA;116259;21,42
00423891 AGF AVENIDA VITORIA;116260;18,42
00423891 AGF AVENIDA VITORIA;116291;26,85
00235037 AGF PEDRO II;105998;20,86
00423891 AGF AVENIDA VITORIA;116134;26,39
00235037 AGF PEDRO II;105927;0
00235037 AGF PEDRO II;105930;0
00235037 AGF PEDRO II;105968;0
00423891 AGF AVENIDA VITORIA;116249;26,39
